retriever,difficulty,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,mrr
tfidf,easy,0.9473684210526315,0.3771929824561404,0.23157894736842102,0.8421052631578947,0.9605263157894737,0.9736842105263158,0.9473684210526315,0.9479216282786179,0.9548707893989492,0.9736842105263158
tfidf,hard,0.5,0.3,0.2,0.45,0.8,0.9,0.5,0.6630929753571457,0.706160631164485,0.6416666666666666
bm25,easy,0.9473684210526315,0.3771929824561404,0.2263157894736842,0.8421052631578947,0.9605263157894737,0.9605263157894737,0.9473684210526315,0.9436964066548383,0.9436964066548383,0.9736842105263158
bm25,hard,0.6,0.3,0.18,0.55,0.8,0.8,0.6,0.7130929753571458,0.7130929753571458,0.6833333333333333
